year,month,day,hour,day-ahead-forecast,actual-demand,error,abs-error,error-percentage
2023,4,6,2,6129.0,6632.96,-503.96000000000004,503.96000000000004,7.597814550366655
2023,4,6,5,6085.0,6459.28,-374.27999999999975,374.27999999999975,5.794453871019677
2023,4,6,8,6537.0,6261.56,275.4399999999996,275.4399999999996,4.3989037875545325
2023,4,6,11,7210.0,6476.06,733.9399999999996,733.9399999999996,11.33312538796737
2023,4,6,14,7110.0,6861.14,248.85999999999967,248.85999999999967,3.6270940397659817
2023,4,6,17,7315.0,7369.5,-54.5,54.5,0.7395345681525205
2023,4,6,20,8955.0,9090.05,-135.04999999999927,135.04999999999927,1.4856903977425788
2023,4,6,23,7994.0,8494.87,-500.8700000000008,500.8700000000008,5.896146733263731
2023,4,0,2,6075.0,6624.27,-549.2700000000004,549.2700000000004,8.291781584989748
2023,4,0,5,6019.0,6512.75,-493.75,493.75,7.581282868220029
2023,4,0,8,7222.0,7436.41,-214.40999999999985,214.40999999999985,2.8832460824510733
2023,4,0,11,7576.0,7463.61,112.39000000000033,112.39000000000033,1.5058396673995604
2023,4,0,14,7660.0,7883.61,-223.60999999999967,223.60999999999967,2.8363909427280105
2023,4,0,17,8079.0,7877.26,201.73999999999978,201.73999999999978,2.561042799145893
2023,4,0,20,9259.0,9167.4,91.60000000000036,91.60000000000036,0.9991927918493833
2023,4,0,23,7947.0,8289.52,-342.52000000000044,342.52000000000044,4.131964215057089
2023,4,1,2,6632.0,6474.6,157.39999999999964,157.39999999999964,2.4310382108547186
2023,4,1,5,6492.0,6452.09,39.909999999999854,39.909999999999854,0.6185592575429024
2023,4,1,8,7259.0,7500.27,-241.27000000000044,241.27000000000044,3.2168175279023346
2023,4,1,11,7385.0,7652.34,-267.34000000000015,267.34000000000015,3.4935719008826074
2023,4,1,14,7465.0,7826.4,-361.39999999999964,361.39999999999964,4.617704180721655
2023,4,1,17,7887.0,8201.22,-314.21999999999935,314.21999999999935,3.831381184750554
2023,4,1,20,9060.0,8604.91,455.09000000000015,455.09000000000015,5.288724693227473
2023,4,1,23,8143.0,7855.01,287.9899999999998,287.9899999999998,3.666322512638428
2023,4,2,2,6326.0,6309.62,16.38000000000011,16.38000000000011,0.25960358943961936
2023,4,2,5,6277.0,6212.64,64.35999999999967,64.35999999999967,1.0359525097221096
2023,4,2,8,7368.0,7124.92,243.07999999999993,243.07999999999993,3.411687429472891
2023,4,2,11,7525.0,7781.55,-256.5500000000002,256.5500000000002,3.2969010030135406
2023,4,2,14,7605.0,8156.32,-551.3199999999997,551.3199999999997,6.759420915314747
2023,4,2,17,7720.0,8322.15,-602.1499999999996,602.1499999999996,7.235510054493126
2023,4,2,20,8839.0,8368.23,470.77000000000044,470.77000000000044,5.625681894498603
2023,4,2,23,8013.0,7800.52,212.47999999999956,212.47999999999956,2.723920969371267
2023,4,3,2,6139.0,6267.05,-128.05000000000018,128.05000000000018,2.043226079255793
2023,4,3,5,5850.0,5976.05,-126.05000000000018,126.05000000000018,2.1092527672961268
2023,4,3,8,6106.0,6584.82,-478.8199999999997,478.8199999999997,7.271573102985347
2023,4,3,11,6965.0,7444.9,-479.89999999999964,479.89999999999964,6.446023452296198
2023,4,3,14,7155.0,7549.23,-394.22999999999956,394.22999999999956,5.222121991249433
2023,4,3,17,7585.0,7961.9,-376.89999999999964,376.89999999999964,4.733794697245628
2023,4,3,20,7425.0,7240.3,184.69999999999982,184.69999999999982,2.5509992679861306
2023,4,3,23,6593.0,6566.05,26.949999999999818,26.949999999999818,0.41044463566375244
2023,4,4,2,5847.0,5784.2,62.80000000000018,62.80000000000018,1.0857162615400606
2023,4,4,5,5611.0,5641.5,-30.5,30.5,0.54063635557919
2023,4,4,8,5259.0,5593.22,-334.22000000000025,334.22000000000025,5.975448846996905
2023,4,4,11,5792.0,6391.33,-599.3299999999999,599.3299999999999,9.377234472324226
2023,4,4,14,6047.0,6150.41,-103.40999999999985,103.40999999999985,1.681351324545841
2023,4,4,17,6552.0,6669.58,-117.57999999999993,117.57999999999993,1.7629295997649015
2023,4,4,20,7451.0,7479.44,-28.4399999999996,28.4399999999996,0.3802423710866001
2023,4,4,23,7006.0,7094.14,-88.14000000000033,88.14000000000033,1.2424338961452737
2023,4,5,2,5987.0,5881.77,105.22999999999956,105.22999999999956,1.789087298551279
2023,4,5,5,5755.0,5640.44,114.5600000000004,114.5600000000004,2.0310472232662775
2023,4,5,8,5904.0,5829.24,74.76000000000022,74.76000000000022,1.2824999485353188
2023,4,5,11,6619.0,6558.71,60.289999999999964,60.289999999999964,0.9192356423747957
2023,4,5,14,6855.0,6809.75,45.25,45.25,0.6644884173427805
2023,4,5,17,7287.0,7422.36,-135.35999999999967,135.35999999999967,1.823678722131501
2023,4,5,20,7028.0,7370.12,-342.1199999999999,342.1199999999999,4.641986833321573
2023,4,5,23,6495.0,6540.38,-45.38000000000011,45.38000000000011,0.6938434769845194
2023,4,6,2,5636.0,5713.82,-77.81999999999971,77.81999999999971,1.3619609998214803
2023,4,6,5,5410.0,5545.89,-135.89000000000033,135.89000000000033,2.450283002367525
2023,4,6,8,5059.0,5486.07,-427.0699999999997,427.0699999999997,7.784625424028489
2023,4,6,11,5512.0,6334.23,-822.2299999999996,822.2299999999996,12.98074114770066
2023,4,6,14,5760.0,6443.52,-683.5200000000004,683.5200000000004,10.607866507747325
2023,4,6,17,6275.0,6791.96,-516.96,516.96,7.61135224589073
2023,4,6,20,7161.0,7475.01,-314.0100000000002,314.0100000000002,4.200797055789895
2023,4,6,23,6765.0,6980.07,-215.0699999999997,215.0699999999997,3.081201191392059
2023,4,0,2,5621.0,5825.33,-204.32999999999993,204.32999999999993,3.507612444273542
2023,4,0,8,6122.0,6544.07,-422.0699999999997,422.0699999999997,6.449655948056786
2023,4,0,14,7284.0,7554.26,-270.2600000000002,270.2600000000002,3.57758403867487
2023,4,0,17,7588.0,7597.72,-9.720000000000255,9.720000000000255,0.12793311677714175
2023,4,0,20,7899.0,7834.42,64.57999999999993,64.57999999999993,0.8243111806617456
2023,4,0,23,7218.0,7263.32,-45.31999999999971,45.31999999999971,0.6239570884939629
2023,4,1,2,5943.0,6084.94,-141.9399999999996,141.9399999999996,2.3326442002714836
2023,4,1,5,5851.0,5996.88,-145.8800000000001,145.8800000000001,2.4325982844412444
2023,4,1,8,6567.0,6586.44,-19.4399999999996,19.4399999999996,0.2951518574525783
2023,4,1,11,7080.0,7584.89,-504.8900000000003,504.8900000000003,6.656523693817581
2023,4,1,14,7416.0,7749.72,-333.72000000000025,333.72000000000025,4.306220095693783
2023,4,1,17,7616.0,8100.4,-484.39999999999964,484.39999999999964,5.9799516073280286
2023,4,1,20,7970.0,8127.8,-157.80000000000018,157.80000000000018,1.9414847806294468
2023,4,1,23,7148.0,7259.23,-111.22999999999956,111.22999999999956,1.5322561759304991
2023,4,2,2,6109.0,6130.87,-21.86999999999989,21.86999999999989,0.35671935630668883
2023,4,2,5,5915.0,5884.87,30.13000000000011,30.13000000000011,0.511990919085725
2023,4,2,8,6574.0,6374.86,199.14000000000033,199.14000000000033,3.123833307711861
2023,4,2,11,7443.0,7490.92,-47.92000000000007,47.92000000000007,0.6397078062507685
2023,4,2,14,7540.0,7508.43,31.56999999999971,31.56999999999971,0.42046073546666496
2023,4,2,17,7944.0,7915.83,28.170000000000073,28.170000000000073,0.3558691887016279
2023,4,2,20,7332.0,7510.49,-178.48999999999978,178.48999999999978,2.376542675644329
2023,4,2,23,6667.0,6732.58,-65.57999999999993,65.57999999999993,0.9740693760787088
2023,4,3,2,5806.0,5790.25,15.75,15.75,0.2720089806139631
2023,4,3,5,5681.0,5643.94,37.0600000000004,37.0600000000004,0.6566334865360086
2023,4,3,8,5915.0,5666.77,248.22999999999956,248.22999999999956,4.380449532979096
2023,4,3,11,6841.0,7342.3,-501.3000000000002,501.3000000000002,6.827560846056416
2023,4,3,14,7110.0,6911.61,198.39000000000033,198.39000000000033,2.8703876520810687
2023,4,3,17,7227.0,8091.64,-864.6400000000003,864.6400000000003,10.685596492182057
2023,4,3,20,8326.0,8747.49,-421.4899999999998,421.4899999999998,4.818410766974295
2023,4,3,23,7781.0,8039.38,-258.3800000000001,258.3800000000001,3.2139294323691643
2023,4,4,2,5909.0,6462.52,-553.5200000000004,553.5200000000004,8.565079875961706
2023,4,4,5,5836.0,6192.95,-356.9499999999998,356.9499999999998,5.763812076635526
2023,4,4,8,7132.0,7437.25,-305.25,305.25,4.104339641668628
2023,4,4,11,7965.0,9163.68,-1198.6800000000003,1198.6800000000003,13.080771043947411
2023,4,4,14,8035.0,8722.07,-687.0699999999997,687.0699999999997,7.877373146512236
2023,4,4,17,8270.0,8943.87,-673.8700000000008,673.8700000000008,7.53443419906596
2023,4,4,20,9350.0,9449.87,-99.8700000000008,99.8700000000008,1.0568399353641986
2023,4,4,23,8243.0,8297.09,-54.090000000000146,54.090000000000146,0.6519153100665431
2023,4,5,2,6458.0,6630.53,-172.52999999999975,172.52999999999975,2.6020544360707176
2023,4,5,5,6187.0,6262.88,-75.88000000000011,75.88000000000011,1.211583169404493
2023,4,5,8,6943.0,6747.04,195.96000000000004,195.96000000000004,2.9043847376034533
2023,4,5,11,7560.0,7050.62,509.3800000000001,509.3800000000001,7.224612870924828
2023,4,5,14,7546.0,7074.23,471.77000000000044,471.77000000000044,6.66885300591019
2023,4,5,17,7667.0,7670.82,-3.819999999999709,3.819999999999709,0.04979910883060362
2023,4,5,20,8223.0,7919.34,303.65999999999985,303.65999999999985,3.834410443294515
2023,4,5,23,7266.0,7046.95,219.05000000000018,219.05000000000018,3.1084369833757894
2023,4,6,2,5979.0,6089.97,-110.97000000000025,110.97000000000025,1.8221764639234719
2023,4,6,5,5940.0,5840.69,99.3100000000004,99.3100000000004,1.7003128055075756
2023,4,6,8,6302.0,5632.88,669.1199999999999,669.1199999999999,11.87882575165812
2023,4,6,11,6910.0,6300.06,609.9399999999996,609.9399999999996,9.681495096872087
2023,4,6,14,6909.0,6315.84,593.1599999999999,593.1599999999999,9.391624867001061
2023,4,6,17,6916.0,6928.86,-12.859999999999673,12.859999999999673,0.18560051725680232
2023,4,6,20,7861.0,7849.46,11.539999999999964,11.539999999999964,0.14701648266250117
2023,4,6,23,7333.0,7413.93,-80.93000000000029,80.93000000000029,1.0915937970819833
2023,4,0,2,5906.0,6023.17,-117.17000000000007,117.17000000000007,1.9453211514866768
2023,4,0,5,5906.0,5866.13,39.86999999999989,39.86999999999989,0.6796644465772135
2023,4,0,8,6725.0,6895.9,-170.89999999999964,170.89999999999964,2.4782841978566923
2023,4,0,11,7356.0,7387.93,-31.93000000000029,31.93000000000029,0.43219142574442754
2023,4,0,14,7766.0,7677.1,88.89999999999964,88.89999999999964,1.1579893449349314
2023,4,0,17,7851.0,8119.92,-268.9200000000001,268.9200000000001,3.3118552892146726
2023,4,0,20,8431.0,8468.22,-37.219999999999345,37.219999999999345,0.43952566182738934
2023,4,0,23,7634.0,7569.78,64.22000000000025,64.22000000000025,0.8483734005479717
2023,4,1,2,6108.0,6116.37,-8.36999999999989,8.36999999999989,0.1368458742685595
2023,4,1,5,5972.0,6021.46,-49.460000000000036,49.460000000000036,0.8213954755159054
2023,4,1,8,6896.0,6987.14,-91.14000000000033,91.14000000000033,1.3043963624601815
2023,4,1,11,7395.0,7602.64,-207.64000000000033,207.64000000000033,2.731156545620999
2023,4,1,14,7681.0,7971.63,-290.6300000000001,290.6300000000001,3.645803932194546
2023,4,1,17,7855.0,8204.27,-349.27000000000044,349.27000000000044,4.2571733987301785
2023,4,1,20,8455.0,8224.77,230.22999999999956,230.22999999999956,2.7992272124326827
2023,4,1,23,7669.0,7468.55,200.44999999999982,200.44999999999982,2.6839212430793102
2023,4,2,2,6108.0,6258.65,-150.64999999999964,150.64999999999964,2.407068617034019
2023,4,2,5,6024.0,6053.23,-29.229999999999563,29.229999999999563,0.4828826923807548
2023,4,2,11,7826.0,7885.86,-59.85999999999967,59.85999999999967,0.7590801764170259
2023,4,2,14,8343.0,8397.99,-54.98999999999978,54.98999999999978,0.6547995413188129
2023,4,2,17,8109.0,8638.77,-529.7700000000004,529.7700000000004,6.132470247500517
2023,4,2,20,8420.0,8470.65,-50.649999999999636,50.649999999999636,0.5979470288584658
2023,4,2,23,7519.0,7505.07,13.930000000000291,13.930000000000291,0.18560786241834243
2023,4,3,5,6112.0,6173.83,-61.82999999999993,61.82999999999993,1.0014853016684933
2023,4,3,20,8470.0,8468.76,1.2399999999997817,1.2399999999997817,0.01464204913115712
2023,4,3,23,7624.0,7683.59,-59.590000000000146,59.590000000000146,0.7755489296019197
2023,4,4,5,6062.0,6275.03,-213.02999999999975,213.02999999999975,3.3948841678844524
2023,4,4,11,7430.0,7464.46,-34.460000000000036,34.460000000000036,0.46165429247393697
2023,4,4,14,7770.0,7910.03,-140.02999999999975,140.02999999999975,1.7702840570768978
2023,4,4,20,8560.0,8387.53,172.46999999999935,172.46999999999935,2.0562668628308853
2023,4,4,23,7609.0,7528.33,80.67000000000007,80.67000000000007,1.0715523894409527
2023,4,5,2,6260.0,6286.01,-26.01000000000022,26.01000000000022,0.41377598826601
2023,4,5,5,6116.0,5978.77,137.22999999999956,137.22999999999956,2.295288161277312
2023,4,5,8,6876.0,6644.06,231.9399999999996,231.9399999999996,3.490937769977989
2023,4,5,11,7309.0,7146.15,162.85000000000036,162.85000000000036,2.2788494504033694
2023,4,5,14,7305.0,6892.9,412.10000000000036,412.10000000000036,5.9786156770009775
2023,4,5,17,7449.0,7172.95,276.0500000000002,276.0500000000002,3.8484863271039136
2023,4,5,20,8017.0,7411.44,605.5600000000004,605.5600000000004,8.170611918871371
2023,4,5,23,7125.0,6573.59,551.4099999999999,551.4099999999999,8.388262730106376
2023,4,6,2,6014.0,5665.97,348.02999999999975,348.02999999999975,6.142461043740079
2023,4,6,5,5918.0,5464.22,453.77999999999975,453.77999999999975,8.304570460193766
2023,4,6,8,6238.0,5599.77,638.2299999999996,638.2299999999996,11.397432394544767
2023,4,6,11,6939.0,5949.15,989.8500000000004,989.8500000000004,16.638511383979232
2023,4,6,14,6805.0,5969.27,835.7299999999996,835.7299999999996,14.000539429444464
2023,4,6,20,7893.0,7431.51,461.4899999999998,461.4899999999998,6.209908887964892
2023,4,6,23,7394.0,7013.47,380.52999999999975,380.52999999999975,5.425702255802046
2023,4,0,2,5998.0,5720.12,277.8800000000001,277.8800000000001,4.857940043215878
2023,4,0,5,5892.0,5600.56,291.4399999999996,291.4399999999996,5.203765337751932
2023,4,0,8,7010.0,6619.87,390.1300000000001,390.1300000000001,5.893318146730979
2023,4,0,11,7480.0,7272.95,207.05000000000018,207.05000000000018,2.846850315209099
2023,4,0,14,7795.0,7109.96,685.04,685.04,9.634934655047285
2023,4,0,17,8220.0,7343.26,876.7399999999998,876.7399999999998,11.939383870379093
2023,4,0,20,8557.0,8197.89,359.1100000000006,359.1100000000006,4.380517425825433
2023,4,0,23,7535.0,7205.43,329.5699999999997,329.5699999999997,4.573911619431453
2023,4,1,2,5866.0,5766.79,99.21000000000004,99.21000000000004,1.7203678302833991
2023,4,1,5,5768.0,5719.57,48.43000000000029,48.43000000000029,0.8467419753582925
2023,4,1,8,6817.0,7043.46,-226.46000000000004,226.46000000000004,3.215181175161072
2023,4,1,11,7335.0,7340.24,-5.239999999999782,5.239999999999782,0.07138731158653916
2023,4,1,14,7501.0,7689.21,-188.21000000000004,188.21000000000004,2.4477156951104213
2023,4,1,17,7781.0,7752.05,28.949999999999818,28.949999999999818,0.3734496036532248
2023,4,1,20,8324.0,7989.88,334.1199999999999,334.1199999999999,4.181789964304844
2023,4,1,23,7352.0,7143.85,208.14999999999964,208.14999999999964,2.9136949963954955
2023,4,2,2,5710.0,5783.21,-73.21000000000004,73.21000000000004,1.2659059588014274
2023,4,2,5,5656.0,5732.88,-76.88000000000011,76.88000000000011,1.341036267983982
2023,4,2,8,6757.0,7024.99,-267.9899999999998,267.9899999999998,3.8148097007967245
2023,4,2,11,7213.0,7081.11,131.89000000000033,131.89000000000033,1.8625610956474388
2023,4,2,14,7250.0,7079.26,170.73999999999978,170.73999999999978,2.411834005249133
2023,4,2,17,7349.0,7235.88,113.11999999999989,113.11999999999989,1.5633205636356586
2023,4,2,20,7641.0,7730.32,-89.31999999999971,89.31999999999971,1.155450227157475
2023,4,2,23,6583.0,6716.17,-133.17000000000007,133.17000000000007,1.9828265216633896
2023,4,3,2,5608.0,5651.92,-43.92000000000007,43.92000000000007,0.7770810627185111
2023,4,3,5,5511.0,5363.84,147.15999999999985,147.15999999999985,2.743556854790595
2023,4,3,8,6005.0,5898.08,106.92000000000007,106.92000000000007,1.8127933157909029
2023,4,3,11,6706.0,6177.97,528.0299999999997,528.0299999999997,8.546982261163452
2023,4,3,14,6770.0,6033.02,736.9799999999996,736.9799999999996,12.215772531833137
2023,4,3,17,6720.0,6651.71,68.28999999999996,68.28999999999996,1.026653296671081
2023,4,3,20,7629.0,7679.02,-50.02000000000044,50.02000000000044,0.6513852027993211
2023,4,3,23,6958.0,6862.7,95.30000000000018,95.30000000000018,1.3886662683783377
2023,4,4,2,5697.0,5592.61,104.39000000000033,104.39000000000033,1.8665703490856742
2023,4,4,5,5598.0,5565.39,32.60999999999967,32.60999999999967,0.5859427641189507
2023,4,4,8,6820.0,7146.3,-326.3000000000002,326.3000000000002,4.5659991883911974
2023,4,4,11,7380.0,7478.39,-98.39000000000033,98.39000000000033,1.3156575145185037
2023,4,4,14,7701.0,7794.83,-93.82999999999993,93.82999999999993,1.2037465858780747
2023,4,4,17,8118.0,8018.99,99.01000000000022,99.01000000000022,1.234694144773846
2023,4,4,20,8451.0,7994.38,456.6199999999999,456.6199999999999,5.711762513165497
2023,4,4,23,7521.0,7272.1,248.89999999999964,248.89999999999964,3.4226702053052027
2023,4,5,2,5786.0,5978.49,-192.48999999999978,192.48999999999978,3.219709324595337
2023,4,5,5,5762.0,5789.99,-27.98999999999978,27.98999999999978,0.4834205240423521
2023,4,5,8,6377.0,6702.72,-325.72000000000025,325.72000000000025,4.8595197173684745
2023,4,5,11,7143.0,7403.5,-260.5,260.5,3.5186060646991284
2023,4,5,14,7118.0,7486.56,-368.5600000000004,368.5600000000004,4.922955269175701
2023,4,5,17,7243.0,7536.81,-293.8100000000004,293.8100000000004,3.8983336451363426
2023,4,5,20,7624.0,7553.8,70.19999999999982,70.19999999999982,0.9293335804495727
2023,4,5,23,6779.0,6686.39,92.60999999999967,92.60999999999967,1.3850523227032774
2023,4,6,2,5805.0,5757.18,47.81999999999971,47.81999999999971,0.8306149885881579
2023,4,6,5,5701.0,5616.52,84.47999999999956,84.47999999999956,1.5041342325852942
2023,4,6,8,5811.0,5857.62,-46.61999999999989,46.61999999999989,0.7958863838897008
2023,4,6,11,6575.0,6793.54,-218.53999999999996,218.53999999999996,3.216879564998513
2023,4,6,14,6565.0,6979.05,-414.0500000000002,414.0500000000002,5.932755890844745
2023,4,6,17,6950.0,7091.78,-141.77999999999975,141.77999999999975,1.9992159937279466
2023,4,6,20,7801.0,7733.81,67.1899999999996,67.1899999999996,0.8687826569310546
2023,4,6,23,7329.0,7297.75,31.25,31.25,0.4282141756020691
2023,4,0,2,5796.0,5719.21,76.78999999999996,76.78999999999996,1.342667955889012
